area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,County,29185,St. Clair County,"St. Clair, MO",6220,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7217,0.6608
Total,County,29185,St. Clair County,"St. Clair, MO",6220,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7365,0.6756
Total,County,29186,Ste. Genevieve County,"Ste. Genevieve, MO",9805,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7173,0.3153
Total,County,29186,Ste. Genevieve County,"Ste. Genevieve, MO",9805,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4211,0.0439
Total,County,29187,St. Francois County,"St. Francois, MO",32410,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8456,0.1487
Total,County,29187,St. Francois County,"St. Francois, MO",32410,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5534,0.0900
Total,County,29189,St. Louis County,"St. Louis, MO",489767,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9460,0.5426
Total,County,29189,St. Louis County,"St. Louis, MO",489767,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6515,0.5470
Total,County,29195,Saline County,"Saline, MO",11781,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.7408,0.1418
Total,County,29195,Saline County,"Saline, MO",11781,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.7450,0.1806
Total,County,29197,Schuyler County,"Schuyler, MO",2516,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4237,0.4237
Total,County,29197,Schuyler County,"Schuyler, MO",2516,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4237,0.4237
Total,County,29199,Scotland County,"Scotland, MO",3402,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8457,0.8457
Total,County,29199,Scotland County,"Scotland, MO",3402,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8457,0.8457
Total,County,29201,Scott County,"Scott, MO",19512,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.9229,0.3546
Total,County,29201,Scott County,"Scott, MO",19512,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.4468,0.3550
Total,County,29203,Shannon County,"Shannon, MO",4413,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2425,0.0442
Total,County,29203,Shannon County,"Shannon, MO",4413,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2334,0.0145
Total,County,29205,Shelby County,"Shelby, MO",4192,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6477,0.4542
Total,County,29205,Shelby County,"Shelby, MO",4192,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1672,0.1589
Total,County,29207,Stoddard County,"Stoddard, MO",15107,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9408,0.5206
Total,County,29207,Stoddard County,"Stoddard, MO",15107,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9408,0.5249
Total,County,29209,Stone County,"Stone, MO",24223,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.3298,0.0188
Total,County,29209,Stone County,"Stone, MO",24223,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.2809,0.0193
Total,County,29211,Sullivan County,"Sullivan, MO",4634,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7853,0.7853
Total,County,29211,Sullivan County,"Sullivan, MO",4634,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7877,0.7877
Total,County,29213,Taney County,"Taney, MO",35257,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.8357,0.1639
Total,County,29213,Taney County,"Taney, MO",35257,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.5707,0.1641
Total,County,29215,Texas County,"Texas, MO",13400,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4405,0.0009
Total,County,29215,Texas County,"Texas, MO",13400,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4405,0.0009
Total,County,29217,Vernon County,"Vernon, MO",10287,R,Any Technology,1.0000,1.0000,1.0000,0.9998,0.7207,0.1873
Total,County,29217,Vernon County,"Vernon, MO",10287,B,Any Technology,1.0000,1.0000,1.0000,0.9998,0.7211,0.2065
Total,County,29219,Warren County,"Warren, MO",17969,R,Any Technology,1.0000,1.0000,1.0000,0.9998,0.7270,0.5069
Total,County,29219,Warren County,"Warren, MO",17969,B,Any Technology,1.0000,1.0000,1.0000,0.9998,0.4568,0.4059
Total,County,29221,Washington County,"Washington, MO",12499,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2993,0.2061
Total,County,29221,Washington County,"Washington, MO",12499,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2932,0.2061
Total,County,29223,Wayne County,"Wayne, MO",6850,R,Any Technology,1.0000,1.0000,1.0000,0.9996,0.1120,0.1088
Total,County,29223,Wayne County,"Wayne, MO",6850,B,Any Technology,1.0000,1.0000,1.0000,0.9996,0.1118,0.1086
Total,County,29225,Webster County,"Webster, MO",17837,R,Any Technology,1.0000,1.0000,1.0000,0.9998,0.5355,0.0640
Total,County,29225,Webster County,"Webster, MO",17837,B,Any Technology,1.0000,1.0000,1.0000,0.9998,0.5355,0.0640
Total,County,29227,Worth County,"Worth, MO",1555,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9466,0.9466
Total,County,29227,Worth County,"Worth, MO",1555,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9466,0.9466
Total,County,29229,Wright County,"Wright, MO",10132,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.4497,0.1177
Total,County,29229,Wright County,"Wright, MO",10132,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.4249,0.0914
Total,County,29510,St. Louis city,"St. Louis city, MO",188374,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9393,0.4653
Total,County,29510,St. Louis city,"St. Louis city, MO",188374,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6721,0.4790
Total,County,30001,Beaverhead County,"Beaverhead, MT",6081,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7364,0.3685
Total,County,30001,Beaverhead County,"Beaverhead, MT",6081,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4419,0.3639
Total,County,30003,Big Horn County,"Big Horn, MT",6656,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3758,0.3753
Total,County,30003,Big Horn County,"Big Horn, MT",6656,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3758,0.3753
Total,County,30005,Blaine County,"Blaine, MT",4581,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2696,0.0000
Total,County,30005,Blaine County,"Blaine, MT",4581,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0448,0.0000
Total,County,30007,Broadwater County,"Broadwater, MT",3852,R,Any Technology,1.0000,1.0000,1.0000,0.9997,0.2570,0.0537
Total,County,30007,Broadwater County,"Broadwater, MT",3852,B,Any Technology,1.0000,1.0000,1.0000,0.9997,0.0704,0.0537
Total,County,30009,Carbon County,"Carbon, MT",7712,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2930,0.0192
Total,County,30009,Carbon County,"Carbon, MT",7712,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0643,0.0192
Total,County,30011,Carter County,"Carter, MT",1071,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5117,0.4669
Total,County,30011,Carter County,"Carter, MT",1071,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5126,0.4669
Total,County,30013,Cascade County,"Cascade, MT",44985,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8240,0.2379
Total,County,30013,Cascade County,"Cascade, MT",44985,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3856,0.2104
Total,County,30015,Chouteau County,"Chouteau, MT",4167,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3365,0.1447
Total,County,30015,Chouteau County,"Chouteau, MT",4167,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1781,0.1457
Total,County,30017,Custer County,"Custer, MT",6966,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7054,0.0632
Total,County,30017,Custer County,"Custer, MT",6966,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7070,0.0632
Total,County,30019,Daniels County,"Daniels, MT",1440,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9285,0.9285
Total,County,30019,Daniels County,"Daniels, MT",1440,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9285,0.9285
Total,County,30021,Dawson County,"Dawson, MT",5495,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7818,0.1884
Total,County,30021,Dawson County,"Dawson, MT",5495,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7820,0.1884
Total,County,30023,Deer Lodge County,"Deer Lodge, MT",6133,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8237,0.1873
Total,County,30023,Deer Lodge County,"Deer Lodge, MT",6133,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2958,0.1895
Total,County,30025,Fallon County,"Fallon, MT",2113,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8140,0.8140
Total,County,30025,Fallon County,"Fallon, MT",2113,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8140,0.8140
Total,County,30027,Fergus County,"Fergus, MT",7884,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5346,0.1346
Total,County,30027,Fergus County,"Fergus, MT",7884,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5361,0.1346
Total,County,30029,Flathead County,"Flathead, MT",61209,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6924,0.1550
Total,County,30029,Flathead County,"Flathead, MT",61209,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2897,0.1504
Total,County,30031,Gallatin County,"Gallatin, MT",67378,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8677,0.7508
Total,County,30031,Gallatin County,"Gallatin, MT",67378,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7889,0.7456
Total,County,30033,Garfield County,"Garfield, MT",1037,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4108,0.4108
Total,County,30033,Garfield County,"Garfield, MT",1037,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4118,0.4108
Total,County,30035,Glacier County,"Glacier, MT",6826,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3176,0.0000
Total,County,30035,Glacier County,"Glacier, MT",6826,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0693,0.0006
Total,County,30037,Golden Valley County,"Golden Valley, MT",641,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7332,0.7332
Total,County,30037,Golden Valley County,"Golden Valley, MT",641,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7332,0.7332
Total,County,30039,Granite County,"Granite, MT",3302,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8137,0.8137
Total,County,30039,Granite County,"Granite, MT",3302,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8137,0.8137
Total,County,30041,Hill County,"Hill, MT",9279,R,Any Technology,1.0000,0.9999,0.9999,0.9999,0.5362,0.0001
Total,County,30041,Hill County,"Hill, MT",9279,B,Any Technology,1.0000,1.0000,0.9999,0.9999,0.1062,0.0010
Total,County,30043,Jefferson County,"Jefferson, MT",6347,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3233,0.0271
Total,County,30043,Jefferson County,"Jefferson, MT",6347,B,Any Technology,1.0000,1.0000,1.0000,0.9998,0.0654,0.0271
Total,County,30045,Judith Basin County,"Judith Basin, MT",1829,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1815,0.1815
Total,County,30045,Judith Basin County,"Judith Basin, MT",1829,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1821,0.1815
Total,County,30047,Lake County,"Lake, MT",20324,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5056,0.0885
Total,County,30047,Lake County,"Lake, MT",20324,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1958,0.0899
Total,County,30049,Lewis and Clark County,"Lewis and Clark, MT",39219,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7493,0.0945
Total,County,30049,Lewis and Clark County,"Lewis and Clark, MT",39219,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2333,0.0959
Total,County,30051,Liberty County,"Liberty, MT",1257,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0183,0.0183
Total,County,30051,Liberty County,"Liberty, MT",1257,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0183,0.0183
Total,County,30053,Lincoln County,"Lincoln, MT",13537,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6996,0.5865
Total,County,30053,Lincoln County,"Lincoln, MT",13537,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6205,0.5074
Total,County,30055,McCone County,"McCone, MT",1537,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5843,0.5843
Total,County,30055,McCone County,"McCone, MT",1537,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5869,0.5843
Total,County,30057,Madison County,"Madison, MT",7806,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8552,0.8552
Total,County,30057,Madison County,"Madison, MT",7806,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8552,0.8552
Total,County,30059,Meagher County,"Meagher, MT",1772,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,30059,Meagher County,"Meagher, MT",1772,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0265,0.0000
Total,County,30061,Mineral County,"Mineral, MT",2897,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0117,0.0117
Total,County,30061,Mineral County,"Mineral, MT",2897,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0131,0.0117
Total,County,30063,Missoula County,"Missoula, MT",62854,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8457,0.5526
Total,County,30063,Missoula County,"Missoula, MT",62854,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5728,0.5528
Total,County,30065,Musselshell County,"Musselshell, MT",3498,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7959,0.7959
Total,County,30065,Musselshell County,"Musselshell, MT",3498,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7985,0.7959
Total,County,30067,Park County,"Park, MT",11422,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4553,0.0000
Total,County,30067,Park County,"Park, MT",11422,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2028,0.0021
Total,County,30069,Petroleum County,"Petroleum, MT",431,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4664,0.4664
Total,County,30069,Petroleum County,"Petroleum, MT",431,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4664,0.4664
Total,County,30071,Phillips County,"Phillips, MT",3135,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3541,0.0102
Total,County,30071,Phillips County,"Phillips, MT",3135,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0781,0.0102
Total,County,30073,Pondera County,"Pondera, MT",3494,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3440,0.3440
Total,County,30073,Pondera County,"Pondera, MT",3494,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3440,0.3440
Total,County,30075,Powder River County,"Powder River, MT",1219,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4397,0.4397
Total,County,30075,Powder River County,"Powder River, MT",1219,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4397,0.4397
Total,County,30077,Powell County,"Powell, MT",3769,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5543,0.1083
Total,County,30077,Powell County,"Powell, MT",3769,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2197,0.1104
Total,County,30079,Prairie County,"Prairie, MT",890,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8056,0.8056
Total,County,30079,Prairie County,"Prairie, MT",890,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8056,0.8056
Total,County,30081,Ravalli County,"Ravalli, MT",25014,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7742,0.1137
Total,County,30081,Ravalli County,"Ravalli, MT",25014,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6903,0.1144
Total,County,30083,Richland County,"Richland, MT",7099,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8180,0.3320
Total,County,30083,Richland County,"Richland, MT",7099,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8191,0.3320
Total,County,30085,Roosevelt County,"Roosevelt, MT",5742,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6963,0.6963
Total,County,30085,Roosevelt County,"Roosevelt, MT",5742,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6963,0.6963
Total,County,30087,Rosebud County,"Rosebud, MT",5167,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4651,0.4651
Total,County,30087,Rosebud County,"Rosebud, MT",5167,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4682,0.4651
Total,County,30089,Sanders County,"Sanders, MT",8318,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6612,0.6476
Total,County,30089,Sanders County,"Sanders, MT",8318,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6487,0.6476
Total,County,30091,Sheridan County,"Sheridan, MT",2721,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7949,0.7949
Total,County,30091,Sheridan County,"Sheridan, MT",2721,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7949,0.7949
Total,County,30093,Silver Bow County,"Silver Bow, MT",19849,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8063,0.0169
Total,County,30093,Silver Bow County,"Silver Bow, MT",19849,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1546,0.0210
Total,County,30095,Stillwater County,"Stillwater, MT",5600,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2905,0.0488
Total,County,30095,Stillwater County,"Stillwater, MT",5600,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0945,0.0529
Total,County,30097,Sweet Grass County,"Sweet Grass, MT",2490,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3956,0.0000
Total,County,30097,Sweet Grass County,"Sweet Grass, MT",2490,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0988,0.0012
Total,County,30099,Teton County,"Teton, MT",3875,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8939,0.8939
Total,County,30099,Teton County,"Teton, MT",3875,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8939,0.8939
Total,County,30101,Toole County,"Toole, MT",3146,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0292,0.0292
Total,County,30101,Toole County,"Toole, MT",3146,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0296,0.0292
Total,County,30103,Treasure County,"Treasure, MT",520,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1519,0.1519
Total,County,30103,Treasure County,"Treasure, MT",520,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1519,0.1519
Total,County,30105,Valley County,"Valley, MT",5718,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5023,0.5023
Total,County,30105,Valley County,"Valley, MT",5718,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5023,0.5023
Total,County,30107,Wheatland County,"Wheatland, MT",1553,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0045,0.0045
Total,County,30107,Wheatland County,"Wheatland, MT",1553,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0180,0.0045
Total,County,30109,Wibaux County,"Wibaux, MT",725,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9407,0.9407
Total,County,30109,Wibaux County,"Wibaux, MT",725,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9407,0.9407
Total,County,30111,Yellowstone County,"Yellowstone, MT",84941,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8214,0.2239
Total,County,30111,Yellowstone County,"Yellowstone, MT",84941,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.3706,0.2259
Total,County,31001,Adams County,"Adams, NE",16541,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9606,0.8705
Total,County,31001,Adams County,"Adams, NE",16541,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9571,0.8710
Total,County,31003,Antelope County,"Antelope, NE",4350,R,Any Technology,1.0000,1.0000,1.0000,0.9998,0.5832,0.5800
Total,County,31003,Antelope County,"Antelope, NE",4350,B,Any Technology,1.0000,1.0000,1.0000,0.9998,0.5832,0.5800
Total,County,31005,Arthur County,"Arthur, NE",286,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6923,0.0699
Total,County,31005,Arthur County,"Arthur, NE",286,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.1888,0.0699
Total,County,31007,Banner County,"Banner, NE",507,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,31007,Banner County,"Banner, NE",507,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0,0.0000
Total,County,31009,Blaine County,"Blaine, NE",428,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0117,0.0117
Total,County,31009,Blaine County,"Blaine, NE",428,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.0117,0.0117
Total,County,31011,Boone County,"Boone, NE",3504,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7118,0.2235
Total,County,31011,Boone County,"Boone, NE",3504,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7118,0.2235
Total,County,31013,Box Butte County,"Box Butte, NE",6655,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9862,0.9859
Total,County,31013,Box Butte County,"Box Butte, NE",6655,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9863,0.9859
Total,County,31015,Boyd County,"Boyd, NE",1891,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4040,0.0111
Total,County,31015,Boyd County,"Boyd, NE",1891,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4040,0.0111
Total,County,31017,Brown County,"Brown, NE",2197,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6336,0.5589
Total,County,31017,Brown County,"Brown, NE",2197,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6336,0.5589
Total,County,31019,Buffalo County,"Buffalo, NE",25817,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8916,0.7574
Total,County,31019,Buffalo County,"Buffalo, NE",25817,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7883,0.7582
Total,County,31021,Burt County,"Burt, NE",4585,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5961,0.4803
Total,County,31021,Burt County,"Burt, NE",4585,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4752,0.2905
Total,County,31023,Butler County,"Butler, NE",5410,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4564,0.3205
Total,County,31023,Butler County,"Butler, NE",5410,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4079,0.3213
Total,County,31025,Cass County,"Cass, NE",14076,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8223,0.5497
Total,County,31025,Cass County,"Cass, NE",14076,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7702,0.5450
Total,County,31027,Cedar County,"Cedar, NE",5201,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6512,0.5347
Total,County,31027,Cedar County,"Cedar, NE",5201,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5870,0.4705
Total,County,31029,Chase County,"Chase, NE",2484,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8011,0.7762
Total,County,31029,Chase County,"Chase, NE",2484,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8011,0.7762
Total,County,31031,Cherry County,"Cherry, NE",4037,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6844,0.5881
Total,County,31031,Cherry County,"Cherry, NE",4037,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6715,0.5881
Total,County,31033,Cheyenne County,"Cheyenne, NE",6097,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6431,0.6103
Total,County,31033,Cheyenne County,"Cheyenne, NE",6097,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.6298,0.6142
Total,County,31035,Clay County,"Clay, NE",3940,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9371,0.6810
Total,County,31035,Clay County,"Clay, NE",3940,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9371,0.6810
Total,County,31037,Colfax County,"Colfax, NE",5153,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7508,0.1261
Total,County,31037,Colfax County,"Colfax, NE",5153,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7943,0.1717
Total,County,31039,Cuming County,"Cuming, NE",5373,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7685,0.6283
Total,County,31039,Cuming County,"Cuming, NE",5373,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7679,0.6278
Total,County,31041,Custer County,"Custer, NE",6817,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7110,0.6884
Total,County,31041,Custer County,"Custer, NE",6817,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7128,0.6905
Total,County,31043,Dakota County,"Dakota, NE",9738,R,Any Technology,1.0000,1.0000,1.0000,0.9999,0.8273,0.4399
Total,County,31043,Dakota County,"Dakota, NE",9738,B,Any Technology,1.0000,1.0000,1.0000,0.9999,0.8167,0.0664
Total,County,31045,Dawes County,"Dawes, NE",4965,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8109,0.4620
Total,County,31045,Dawes County,"Dawes, NE",4965,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8109,0.4620
Total,County,31047,Dawson County,"Dawson, NE",12713,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8679,0.7712
Total,County,31047,Dawson County,"Dawson, NE",12713,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8040,0.7722
Total,County,31049,Deuel County,"Deuel, NE",1358,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.7577,0.4374
Total,County,31049,Deuel County,"Deuel, NE",1358,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.5795,0.4374
Total,County,31051,Dixon County,"Dixon, NE",3323,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.4084,0.3124
Total,County,31051,Dixon County,"Dixon, NE",3323,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.2681,0.1721
Total,County,31053,Dodge County,"Dodge, NE",19084,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9021,0.8526
Total,County,31053,Dodge County,"Dodge, NE",19084,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8828,0.8534
Total,County,31055,Douglas County,"Douglas, NE",277969,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9781,0.7480
Total,County,31055,Douglas County,"Douglas, NE",277969,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.8638,0.4897
Total,County,31057,Dundy County,"Dundy, NE",1358,R,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9764,0.9764
Total,County,31057,Dundy County,"Dundy, NE",1358,B,Any Technology,1.0000,1.0000,1.0000,1.0000,0.9764,0.9764
